id	B002CP	B020C	B065C	B038F	B058F	B066F	B075F	B084F	B005RNP	B006RNP	B011RNP	B017RNP	B021RNP	B026RNS	B001RP	B007RP	B010RP	B012RP	DGS002CP	DGS020C	DGS058F	DGS066F	DGS011RNP	DGS017RNP	DGS021RNP	DGS026RNS	DGS012RP	DGS025RP	PCH002CP	PCH065C	PCH038F	PCH058F	PCH066F	PCH075F	PCH084F	PCH005RNP	PCH006RNP	PCH009RNP	PCH011RNP	PCH026RNS	PCH001RP	PCH007RP	PCH010RP	PCH012RP	PCH025RP
Group	Protected	Suceptible	Suceptible	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Suceptible	Suceptible	Suceptible	Suceptible	Suceptible	Suceptible	Protected	Protected	Protected	Protected	Protected	Suceptible	Duffy_FY_ive	Duffy_FY_ive	Suceptible	Suceptible	Suceptible	Suceptible	Protected	Protected	Protected	Suceptible	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Suceptible	Suceptible	Suceptible	Suceptible	Protected	Protected	Protected	Protected	Protected	Protected
PRSS21	1.797432913	0.796161438	1.587509175	0.979643085	-0.029883672	-3.017422847	-0.299015425	0.287582662	0.636495587	2.77025361	0.799785422	0.775643603	0.807108867	1.145822912	1.220304724	1.299522009	1.547288021	1.105620029	1.496091755	0.338158045	-0.211511011	-1.338879942	0.508229873	1.268181743	2.382006484	1.580728828	1.533207454	1.890618517	0.816932016	1.488894162	-0.057681882	-0.011908696	-1.550185808	-0.495668388	1.82286916	0.335953862	1.965169627	0.884375652	0.662876131	1.858487394	1.131576572	1.283200414	1.743951805	0.947553439	1.702399644
IRF4	4.575040491	4.700377899	6.773191362	5.28081262	4.766582934	5.026971273	4.916921974	5.617218852	4.721303975	4.862176099	4.579763905	4.763961798	4.913840042	4.467751007	4.378734087	3.986582697	4.827857086	4.528409804	4.895498602	3.886058452	4.888949171	5.200278869	3.905822238	4.860546492	4.580650302	4.400647212	4.156644102	4.810650212	4.335896958	4.359907721	5.138715331	5.070831735	5.064524036	5.143370786	5.395636364	4.524615426	5.000793537	4.176488093	4.652822467	4.718309736	5.040651415	4.251020008	4.557538681	4.393353192	4.901843733
ANPEP	9.196821051	9.236338499	7.645815601	7.372369377	8.402328532	7.716863385	7.528239054	7.545307229	9.023570506	9.3415472	8.27850183	8.583829332	8.844773475	8.412386384	9.55068812	9.649842444	8.718083952	9.474352259	9.23453349	8.564046555	8.09297195	8.174001581	8.322011064	7.723965585	8.602926015	8.430309458	9.846825915	9.039767876	8.922904385	7.928779711	7.946070253	8.048487019	8.417760898	6.852322004	7.427431748	9.609475237	9.63910961	8.408650226	8.704028238	8.809448236	8.597142977	9.967536511	9.383977587	9.226883835	9.722313564
BRCA2	-0.372492089	0.713699277	1.715833272	0.587325662	0.58016981	0.230504667	0.923376996	1.670052298	0.391383089	0.370323003	-0.126213997	-0.008627706	0.67782585	0.882788506	-0.084549857	0.179227775	-0.275834217	-0.945006044	-1.191964239	2.08138263	-0.211511011	-0.338879942	2.200107578	0.387763359	-0.425348439	0.87290958	-0.091283411	-1.196844324	0.317361007	0.562894743	1.129945122	-0.181833697	-0.742830886	0.37880073	-0.636562459	-0.429580884	0.005811612	0.379140344	0.952382749	-0.726475106	0.801427971	0.365662574	-0.052514801	-0.209987838	-0.723865111
LOC100499484	-0.179847011	-0.051835469	-0.83875558	0.110887618	1.555078829	0.506139109	1.778987087	0.180667458	1.417855301	-0.799601999	-0.448142092	-0.371197785	0.201387806	1.001433003	-0.364657777	0.047983242	0.111188906	0.054993956	-0.274426399	-1.60044141	1.54748089	-0.239344269	-0.607247344	-1.07166826	-0.425348439	-0.864056015	0.024193806	0.125083771	0.214267514	-0.58910835	-0.227606883	1.341728259	0.537277033	1.591794453	-0.221524959	-0.751508979	0.157814705	0.817261457	0.077913631	0.103599892	0.19570691	-0.103822709	0.454445188	0.481889867	-0.023425392
MADCAM1	0.727043585	0.87416395	-4.83875558	-1.412674338	0.181620433	-0.557991228	-2.883977926	-1.51977226	-0.193579411	-0.099162281	-2.448142092	-0.091089866	0.262788351	-0.076569509	1.075914815	0.784948836	0.34565416	1.335101875	0.161672716	-1.185403911	-0.104595807	-0.686803246	-2.607247344	-1.164777664	-1.162314033	-1.712052921	2.206397137	0.218193175	0.668833377	-0.759033352	-0.527167165	-0.181833697	-1.550185808	-3.080630889	-0.999132538	1.155381616	-0.16411339	0.009906534	-1.092011371	0.351527406	0.427032456	-0.103822709	0.399997404	1.177035285	0.735566508
ZNF559	3.864547108	3.298661778	3.734891607	3.830499646	3.946190489	4.05939275	4.269151833	3.802155834	4.02019988	3.822449821	4.210069391	3.722314101	3.095678365	4.150110271	3.98280541	3.968548774	3.960364004	3.682267262	4.021815052	2.369184941	3.927253059	3.796279641	3.250733651	3.618329712	3.538125685	3.010413103	4.091938413	3.94611363	3.639289101	3.708572198	4.015567101	3.957717655	3.925547623	4.195493517	3.855290638	3.524615426	3.687635652	4.270434085	4.188759399	3.504479328	4.003061832	3.853949055	3.966344227	4.155661635	3.890844734
USP9Y	4.137565603	4.60351636	4.25135684	0	0	0	-4.468940427	0	5.210142775	3.914643519	4.40360695	4.251899845	4.904238043	-4.246494511	0	0	-3.976273935	0	3.324611287	4.215475525	0	0	4.299643251	4.509532322	4.471891987	0	0	3.897673275	4.858123703	2.810822256	0	0	0	-4.080630889	0	3.388042373	4.282969836	0	4.998101049	0	0	0	0	0	-2.723865111
SAYSD1	3.335852827	3.471726487	3.653097516	3.231181852	3.477076317	3.132324273	3.376549624	3.331976781	3.596497519	3.557950006	3.691409261	3.289052843	3.770582991	3.26130013	3.176715456	3.292290439	3.001005988	3.345671117	3.782769003	3.265807201	3.418966149	3.601957985	3.852184274	3.625299267	3.948531736	3.400647212	3.156644102	3.890618517	3.492803013	3.906302565	3.533944349	3.525525435	3.547846275	3.802012161	3.636456036	3.552271769	3.617246324	3.742356648	3.765969624	3.092284579	3.286854798	3.138252078	3.108948622	3.515837199	3.34222408
TP53I11	6.182096763	6.036687788	5.699433352	5.190952007	5.278694869	4.979756634	5.253867105	4.665103082	5.721303975	5.946912322	5.711729245	5.781449225	5.831377882	6.120920241	6.422311905	6.425503662	5.872349005	6.304276749	6.341149149	5.681874829	5.212170583	5.61198835	5.940932367	4.990377878	5.589601903	6.819328539	6.664716852	5.204035112	6.022576284	5.923961232	6.010797856	4.73702954	5.716600733	4.811152815	4.546659365	6.22720148	6.77326043	5.396487588	5.728167592	6.358628462	5.324989927	6.556584657	6.441024672	6.01289993	6.39117854
ACKR1	-0.479407293	0.381123938	0.290527437	0	0	0	0	0	1.903282128	2.575437433	2.333217622	0.728337889	0.847750852	2.038907708	-0.084549857	1.21025467	0.778613567	2.65702997	-0.36188924	0.569483591	0	0	1.615145077	0.213733959	0.877214331	2.213946497	2.277950399	1.262587294	-0.84018027	2.633284071	0	0	0	0	0	1.976411475	1.71852966	-0.575055966	1.930356442	2.6734555	-0.868423428	1.622002327	0.284520187	1.481889867	1.485588255
ABCC3	4.659356777	4.153713442	4.89933668	5.762251345	5.410439124	5.820205086	4.312419287	4.338208735	4.52219196	5.154594312	4.488495847	4.908910134	3.930491283	4.39013011	4.203026733	4.0522706	4.466669561	4.371760346	5.01097582	4.923120546	6.030563776	5.66433677	5.371939645	4.586543223	4.17951362	5.336706391	4.711771373	4.571340001	4.484519574	5.086456699	5.689765197	5.822386769	6.080991248	4.411222208	4.467308139	5.062272212	4.590774112	4.139189551	4.411814367	4.814406326	3.440329279	4.69956331	4.399997404	4.384193193	5.12475783
TTTY15	1.374741841	1.211198937	0.994134434	0	0	0	0	0	1.6588634	0.955285503	1.551857908	1.143375388	2.052865282	0	0	0	0	0	1.192699611	2.29032952	0	0	1.562677657	1.250259835	1.475115888	0	0	1.64445793	1.629305013	0.884822838	0	0	0	0	0	1.202687331	1.643241532	0	1.49295113	0	0	0	0	0	0
RFWD2	6.19519242	6.221493918	5.65109238	5.67080499	5.915714175	5.996597623	5.678264498	5.934527033	6.02019988	5.999679623	6.03365734	5.728337889	6.318070787	6.419729492	6.400687528	6.222671189	6.132250522	5.864187878	6.195574461	6.471020952	5.711930761	5.640034763	6.074576696	6.083782472	5.933376012	6.260639733	6.334981344	5.515109382	6.140618423	6.005838239	6.028601806	5.685445043	5.91129364	5.460465727	5.582606062	5.943719312	6.705480453	6.058847443	6.113781879	5.763595784	6.277624472	6.517665667	6.140426854	6.146210159	6.254845349
TFB1M	2.068080503	1.670630555	2.492161298	2.469968712	2.229983455	2.442008772	2.203484915	2.535510175	2.206351195	2.244792121	2.458748504	1.576334795	1.807108867	2.382862109	1.850355114	2.098609315	1.906369114	2.201835344	1.787857879	1.964343209	2.409977366	2.28002989	2.250733651	2.157150431	2.382006484	1.550981485	1.908716589	1.999552889	2.088736631	2.41089165	2.231824736	2.651056317	2.599561312	2.473957963	2.215880353	2.081381035	2.193438615	2.282925029	2.507901471	1.80403961	2.011994957	1.481139791	1.984959905	2.429422447	1.86109739
