id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000254289.1	4.223154029	-4.032129708	1.2663048	-3.184169964	0.001451697	0.010890947
ENSG00000149256.13	6.463389818	-4.030716296	1.427182885	-2.824246519	0.004739192	0.027072776
ENSG00000224081.6	2.636798885	-4.029793191	2.045332041	-1.970239115	0.048810973	0.15012477
ENSG00000261496.1	4.236511125	-4.025775581	1.539071367	-2.615717287	0.008904025	0.043812311
ENSG00000229299.2	3.993991937	-4.025366678	1.439702935	-2.795970321	0.005174415	0.028886912
ENSG00000238959.1	2.658269605	-4.024875319	1.959102581	-2.054448479	0.039932305	0.130184241
ENSG00000221855.1	4.007549926	-4.021011616	1.168199976	-3.442057608	0.000577307	0.00516829
ENSG00000264167.1	2.641904861	-4.015673555	1.531468801	-2.622106015	0.008738824	0.04317868
ENSG00000198414.5	5.896504052	-4.006909716	1.215486387	-3.296548408	0.000978807	0.007925064
ENSG00000266256.1	2.615130706	-4.00519807	1.613792778	-2.481854005	0.013070081	0.058019333
ENSG00000228653.2	8.450642594	-4.000391529	1.265620264	-3.16081501	0.001573284	0.011540173
ENSG00000255545.6	4.060504333	-3.999811092	1.467941437	-2.724775656	0.006434519	0.034197705
ENSG00000234423.1	2.542116028	-3.977366273	1.576041984	-2.523642336	0.011614603	0.053289606
ENSG00000273175.1	2.556135689	-3.976957222	2.007792968	-1.980760609	0.047618126	0.147354512
ENSG00000224288.2	3.988747526	-3.968654487	1.273968653	-3.115190062	0.001838264	0.013063468
ENSG00000197882.3	2.546472628	-3.964724367	1.690480735	-2.345323602	0.019010572	0.076686001
ENSG00000223305.1	2.538611156	-3.963565896	1.483778363	-2.671265464	0.007556586	0.038750591
ENSG00000047617.13	2.524133849	-3.960109141	1.767034636	-2.241104424	0.025019312	0.093642694
ENSG00000211967.3	8.716329726	-3.955586479	1.089475666	-3.630724947	0.000282626	0.002924583
ENSG00000272482.1	3.912766636	-3.953904279	1.380921957	-2.863235145	0.004193392	0.024668177
ENSG00000274220.1	4.035142327	-3.94813944	1.487304036	-2.654561102	0.007941166	0.040209571
ENSG00000215397.3	52.71977888	-3.932775333	0.526774904	-7.465760616	8.28E-14	7.09E-12
ENSG00000279164.1	10.44535901	-3.915204419	1.035974384	-3.779248288	0.000157303	0.001817998
ENSG00000266100.1	3.838011255	-3.914555691	1.474558351	-2.654730949	0.007937169	0.040206508
ENSG00000258742.4	3.938783613	-3.913984881	1.821911729	-2.148284584	0.031691155	0.110307181
ENSG00000196542.7	18.47871121	-3.91116378	0.820626949	-4.766067925	1.88E-06	4.30E-05
ENSG00000279616.1	8.246122883	-3.899489325	1.141960522	-3.414732164	0.000638448	0.005603731
ENSG00000199643.1	3.616558744	-3.851861233	1.34852882	-2.856343281	0.004285515	0.025029045
ENSG00000232036.2	7.450661157	-3.850386227	1.110024633	-3.468739443	0.000522906	0.004790052
ENSG00000270379.4	10.16559133	-3.844233746	1.067087683	-3.602547201	0.000315114	0.003182506
ENSG00000272002.1	3.718832542	-3.833908248	1.481464122	-2.587918393	0.009655785	0.046573693
ENSG00000251152.1	5.71109994	-3.823710863	1.183457515	-3.23096589	0.001233727	0.009614713
ENSG00000252377.1	3.60071611	-3.822348308	1.388656908	-2.75255053	0.005913302	0.032086668
ENSG00000229727.5	3.588049668	-3.818563573	1.480107455	-2.579923207	0.009882229	0.047371146
ENSG00000179157.4	3.692020663	-3.816703681	1.678471503	-2.273916283	0.022971021	0.08806177
ENSG00000260388.2	15.0644352	-3.813617085	0.911378488	-4.184449311	2.86E-05	0.000442991
ENSG00000248936.1	5.627383693	-3.795870877	1.182770965	-3.209303399	0.00133057	0.010185284
ENSG00000273882.1	6.916176519	-3.792240753	1.12276415	-3.377593373	0.000731231	0.006235719
ENSG00000221112.1	5.071776017	-3.791918943	1.131181908	-3.35217432	0.000801795	0.006742873
ENSG00000169992.8	5.080461703	-3.790191762	1.191794193	-3.180240167	0.00147153	0.010984122
ENSG00000254789.1	23.556598	-3.77901412	0.837258864	-4.513555225	6.37E-06	0.000120712
ENSG00000211563.3	3.36884453	-3.768358457	1.266888827	-2.974498137	0.002934682	0.018844127
ENSG00000274173.1	21.24831502	-3.764623993	0.64342018	-5.85095729	4.89E-09	2.11E-07
ENSG00000130876.10	3.328796452	-3.762419137	1.302713231	-2.888140727	0.003875265	0.023253319
ENSG00000181291.5	3.468063857	-3.750763468	1.588097731	-2.361796378	0.018186628	0.074055376
ENSG00000171017.9	4.925619329	-3.742706037	1.336877963	-2.799586904	0.005116804	0.028622953
ENSG00000205500.7	3.422404455	-3.738957287	1.31262949	-2.848448338	0.004393299	0.025527434
ENSG00000212242.1	5.350764795	-3.738201865	1.267626492	-2.94897739	0.003188273	0.020054229
ENSG00000207286.1	3.395772295	-3.72598832	1.234439227	-3.018365132	0.002541425	0.016839964
ENSG00000254851.1	3.381426916	-3.723538117	1.203100369	-3.094952186	0.001968446	0.013769831
ENSG00000224307.1	15.75195482	-3.707365196	0.842094796	-4.402550892	1.07E-05	0.000188854
ENSG00000279108.1	9.310714113	-3.705277474	0.900235778	-4.115896707	3.86E-05	0.000569673
ENSG00000148584.13	3.37871436	-3.70512448	1.402694142	-2.641434344	0.008255581	0.04145627
ENSG00000239736.2	4.86176634	-3.700857262	1.42545262	-2.596268169	0.009424248	0.045736058
ENSG00000184254.15	5.232332527	-3.699605219	1.20796131	-3.062685193	0.002193607	0.015025669
ENSG00000254363.5	9.84281939	-3.699077328	1.035564684	-3.572038894	0.000354213	0.003495971
ENSG00000265135.1	3.435883673	-3.696491213	1.400663413	-2.639100286	0.008312639	0.041648862
ENSG00000225300.1	8.511233848	-3.695095643	0.956823501	-3.861836208	0.000112538	0.001371691
ENSG00000221443.1	4.752621732	-3.681325402	1.151228572	-3.197736307	0.001385109	0.010501047
ENSG00000223650.1	9.763062243	-3.679867979	0.947991297	-3.881752914	0.000103706	0.001286532
ENSG00000278022.1	4.719725369	-3.677834874	1.164634257	-3.157931214	0.00158893	0.011626165
ENSG00000229696.1	7.033475029	-3.666135581	1.113034568	-3.293820053	0.000988358	0.007990402
ENSG00000252233.1	4.393023046	-3.665264963	1.306809257	-2.804743649	0.005035661	0.028269103
ENSG00000270591.1	5.123096983	-3.659999491	1.310729897	-2.792336925	0.005232884	0.029162194
ENSG00000251703.1	3.214046258	-3.658270747	1.423698624	-2.569554178	0.010182947	0.04843642
ENSG00000258284.1	7.030863445	-3.65602894	1.163371976	-3.142613899	0.001674466	0.012124787
ENSG00000174697.4	5.191510254	-3.653607696	1.4417286	-2.534185488	0.011270905	0.052116121
ENSG00000129159.6	3.210771053	-3.64870804	1.482452027	-2.461265507	0.013844787	0.060646408
ENSG00000235903.6	62.96847989	-3.646115011	1.175534172	-3.101666542	0.001924346	0.013521182
ENSG00000254484.1	6.393767628	-3.628673943	1.214770981	-2.987125968	0.002816137	0.018241025
ENSG00000229794.2	4.561524906	-3.613555036	1.219381638	-2.963432386	0.003042289	0.019374194
ENSG00000111012.8	4.930898385	-3.610961157	1.448349832	-2.493155367	0.012661343	0.056709325
ENSG00000261535.1	4.597120047	-3.607860265	1.13225264	-3.18644456	0.001440331	0.010826228
ENSG00000233401.1	4.868212392	-3.607587048	1.343721797	-2.684772291	0.007257924	0.037609529
ENSG00000260941.1	3.031043502	-3.60669819	1.504507356	-2.397261918	0.016518112	0.069149722
ENSG00000227536.1	8.127734291	-3.604592198	1.165392738	-3.093027853	0.001981255	0.013839016
ENSG00000235204.1	6.732514962	-3.602567859	1.047527637	-3.439114855	0.00058362	0.005203411
ENSG00000235678.3	5.130889161	-3.601767779	1.546739041	-2.328620202	0.019879195	0.079215641
ENSG00000235590.6	4.537980884	-3.600423972	1.212474339	-2.969484677	0.002982997	0.019076857
ENSG00000268987.1	7.561143483	-3.592756354	1.458357211	-2.463564019	0.013756333	0.060381666
ENSG00000226625.1	7.892294133	-3.584023329	1.10292584	-3.249559669	0.001155838	0.009085364
ENSG00000143195.11	6.70986765	-3.580365159	1.312364032	-2.728179888	0.006368487	0.033944437
ENSG00000270954.1	4.437460904	-3.576050382	1.211619648	-2.951462851	0.003162726	0.019935853
ENSG00000226746.2	6.677373662	-3.570407983	1.086654846	-3.28568726	0.001017339	0.008186712
ENSG00000148600.13	5.781305105	-3.561720311	1.128475275	-3.156223615	0.001598263	0.01168003
ENSG00000277999.1	3.01467548	-3.558375183	1.322790229	-2.690052516	0.007144078	0.037149517
ENSG00000211749.1	6.586835926	-3.557152043	1.231484099	-2.888508302	0.003870738	0.023237171
ENSG00000235286.1	6.287293543	-3.553353946	1.041458404	-3.411901938	0.000645113	0.005648958
ENSG00000271172.1	4.664191053	-3.553275209	1.136227853	-3.127255857	0.001764463	0.012631522
ENSG00000261439.1	3.014225722	-3.537536749	1.755328561	-2.01531316	0.043871847	0.139195647
ENSG00000134138.18	2.879747091	-3.53440591	1.628883074	-2.169834021	0.030019422	0.106280635
ENSG00000239822.3	2.976458146	-3.53196685	1.756287848	-2.011040988	0.044321127	0.140077452
ENSG00000272690.4	4.008624833	-3.531045249	1.300955174	-2.714194401	0.006643717	0.035055106
ENSG00000204248.9	2.995917393	-3.528552239	1.886171488	-1.870748372	0.061379967	0.175930563
ENSG00000243066.3	3.988637105	-3.525556238	1.374344375	-2.565264066	0.010309731	0.048872784
ENSG00000251354.3	9.362818082	-3.524743066	1.021861055	-3.449336923	0.000561965	0.005063942
ENSG00000253298.1	2.942932526	-3.519570745	1.422218726	-2.474704264	0.013334654	0.058835781
