id	group_1_sample_10_SRR988501_PE	group_1_sample_11_SRR988500_PE	group_1_sample_12_SRR988499_PE	group_1_sample_1_SRR988510_PE	group_1_sample_2_SRR988509_PE	group_1_sample_3_SRR988508_PE	group_1_sample_4_SRR988507_PE	group_1_sample_5_SRR988506_PE	group_1_sample_6_SRR988505_PE	group_1_sample_7_SRR988504_PE	group_1_sample_8_SRR988503_PE	group_1_sample_9_SRR988502_PE
ENSG00000156687.9	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000156689.5	2.00	0.00	2.00	2.00	0.00	0.00	1.00	0.00	7.00	0.00	0.00	6.00
ENSG00000156697.11	379.40	53.00	382.39	373.03	291.93	124.46	408.56	177.44	160.90	134.03	322.02	155.62
ENSG00000156709.12	192.02	37.00	159.00	160.68	104.99	96.40	194.64	144.89	129.19	34.00	220.82	79.37
ENSG00000156711.15	910.29	87.98	920.64	323.06	629.89	146.01	350.01	360.81	657.10	24.07	1061.34	133.96
ENSG00000156735.9	1203.00	353.00	1319.00	1478.00	677.00	432.00	1174.00	859.00	762.00	345.00	1215.00	390.00
ENSG00000156738.16	3424.00	607.00	4736.00	2085.00	2146.00	1201.00	2761.00	1368.00	1387.00	982.00	3639.00	812.00
ENSG00000156787.15	827.07	180.04	756.00	672.00	670.00	242.00	863.04	564.16	466.00	126.00	690.00	366.00
ENSG00000156795.5	23.00	5.00	19.00	32.00	61.00	12.00	27.00	21.00	15.00	5.00	21.00	13.00
ENSG00000156802.11	362.02	113.00	361.00	441.00	300.00	167.00	432.00	430.00	216.46	136.00	302.99	174.00
ENSG00000156804.6	440.00	24.00	286.00	303.00	316.00	91.00	378.00	104.00	211.00	41.00	243.00	39.00
ENSG00000156831.6	105.00	31.00	248.00	98.00	111.00	43.00	176.00	71.00	77.00	31.00	136.00	37.00
ENSG00000156853.10	96.00	13.00	79.00	78.00	88.00	30.00	100.00	37.00	32.00	13.00	108.00	12.00
ENSG00000156858.10	336.00	67.00	364.00	197.00	199.00	143.00	185.00	245.00	270.00	54.00	515.00	124.00
ENSG00000156860.14	555.36	87.00	511.31	376.00	469.00	172.00	312.00	348.00	410.00	67.00	714.00	197.00
ENSG00000156869.11	82.61	34.14	115.54	68.82	92.47	26.10	84.88	101.50	65.96	24.92	55.04	56.01
ENSG00000156873.14	203.72	55.99	352.74	194.76	185.30	64.05	181.33	108.14	112.19	78.73	288.38	57.00
ENSG00000156875.12	1436.00	919.00	2042.00	1498.00	797.00	948.00	1374.00	2181.00	947.00	606.00	1586.00	1295.00
ENSG00000156876.9	206.00	57.00	195.29	219.00	184.00	110.00	309.00	238.00	202.00	38.00	246.00	127.00
ENSG00000156886.11	1.00	0.00	6.00	8.00	1.00	2.00	7.00	2.00	7.00	0.00	1.00	0.00
ENSG00000156920.9	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00
ENSG00000156925.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
ENSG00000156928.4	420.75	223.71	536.45	491.40	325.06	265.65	566.65	478.11	346.95	208.63	507.25	251.38
ENSG00000156931.14	1892.78	340.00	2690.01	2059.00	1189.06	442.00	1519.94	896.00	1528.00	310.00	2197.11	293.00
ENSG00000156958.13	483.28	86.38	479.17	389.32	401.60	158.01	369.10	277.66	276.03	129.37	435.23	152.84
ENSG00000156959.8	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	5.00	0.00	2.00	0.00
ENSG00000156966.6	24.40	1.00	32.00	14.00	14.00	5.00	63.95	7.00	8.00	5.00	36.03	3.00
ENSG00000156968.8	729.78	44.03	776.05	556.91	1283.56	155.43	522.76	184.38	467.62	78.55	664.07	129.70
ENSG00000156970.11	11.00	16.00	36.00	46.00	62.86	19.00	30.00	41.00	43.00	23.00	24.00	52.00
ENSG00000156973.12	445.00	147.00	548.00	401.00	296.00	129.00	442.00	345.00	256.00	134.00	434.00	131.00
ENSG00000156976.13	3878.22	839.01	3534.49	2969.19	2546.41	1215.06	4037.41	2039.14	1863.15	996.02	2875.16	2222.11
ENSG00000156983.14	728.00	89.00	560.00	443.00	443.00	145.00	412.00	275.00	334.00	76.00	679.00	142.00
ENSG00000156990.13	409.00	25.00	297.28	148.00	205.00	73.00	167.00	94.00	102.00	25.00	292.00	70.00
ENSG00000157014.9	468.00	82.00	197.34	418.00	322.68	186.90	403.00	314.75	324.15	64.58	629.58	133.76
ENSG00000157017.14	38.00	29.00	49.00	48.00	22.00	31.00	45.26	75.00	57.00	14.00	60.00	29.00
ENSG00000157020.16	375.00	103.00	229.00	292.00	258.00	124.00	360.00	242.00	243.00	83.00	394.00	129.00
ENSG00000157036.11	288.00	9.00	162.00	67.00	241.00	42.00	109.00	21.00	90.00	29.00	124.00	23.00
ENSG00000157045.7	322.96	154.76	447.58	251.87	188.59	85.80	318.48	575.26	238.70	119.55	357.79	206.72
ENSG00000157064.9	1.00	1.00	1.00	6.00	0.00	0.00	0.00	1.00	1.00	0.00	24.00	3.00
ENSG00000157077.13	104.00	4.00	138.00	79.00	54.00	27.00	43.60	27.00	82.00	9.00	97.00	24.00
ENSG00000157087.15	21.00	1.00	1.00	2.00	12.00	0.00	0.00	1.00	0.00	0.00	6.00	0.00
ENSG00000157106.15	9061.59	1865.44	9426.08	8341.95	8843.19	3192.34	8948.48	5461.93	5560.81	1535.76	9486.67	3161.52
ENSG00000157107.12	808.00	315.00	1127.00	1122.00	889.00	350.00	765.00	1217.00	791.00	172.00	1239.00	618.00
ENSG00000157110.14	359.00	43.00	220.00	240.00	247.00	111.00	448.00	114.00	184.00	62.00	335.00	33.00
