id	sample_12_SRR988499_PE	sample_10_SRR988501_PE	sample_8_SRR988503_PE	sample_6_SRR988505_PE	sample_4_SRR988507_PE	sample_11_SRR988500_PE	sample_9_SRR988502_PE	sample_7_SRR988504_PE	sample_5_SRR988506_PE	sample_3_SRR988508_PE	sample_2_SRR988509_PE	sample_1_SRR988510_PE
Group	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Unchallenged control	Unchallenged control
ENSG00000256356.1	0.36	0.97	0.28	0.37	0.9	0.28	0.55	0.57	0.42	2.84	0.36	0.92
ENSG00000256361.1	1.79	2.71	1.18	3.03	1.79	1.92	0.46	2.15	1.35	2.41	0.75	4.24
ENSG00000256364.1	34.04	39.55	15.84	23.02	84.22	5.9	16.89	48.74	7.18	23.19	50.87	40.25
ENSG00000256372.1	0.32	0	0.5	0	0	1.28	0.58	0	1.38	0.76	0.47	0.67
ENSG00000256379.1	19.17	16.24	16.21	27.15	28.32	9.17	7.35	7.83	5.25	12.02	18.9	18.37
ENSG00000256417.1	1.81	0	0	0.35	0	0	0	0	0	0	0	0
ENSG00000256427.1	3.32	1.67	1.24	0	6.93	0	0	0	0	0	13.18	3.45
ENSG00000256433.2	1.85	0.23	1.49	2.38	1.01	0.44	0.19	0.4	0.6	0.58	1.32	1.22
ENSG00000256436.1	3.18	2.13	3.71	2.8	4.58	0.61	1.14	1.34	0.7	2.49	7.33	4.67
ENSG00000256442.1	1.59	7.09	3.42	1.65	5.6	0.62	0	2.14	0.55	1.66	3.38	0.73
ENSG00000256443.1	0	0	0	1.05	0	0	0	0	0	0	0	0
ENSG00000256448.4	3.43	4.2	9.65	8.22	7.86	0	9.89	3.52	2.29	11.06	13.46	6.62
ENSG00000256453.1	0.28	2	0.09	0.71	0	0	0	0.95	0.46	0	0	0
ENSG00000256464.1	0.79	0.53	0.53	2.28	0.13	0	1.85	8.82	0.69	1.59	2.33	1.76
ENSG00000256469.1	0	0	0	0	0	0	0	1.1	0	0	0	0
ENSG00000256500.5	0	0	0	0.23	0.31	0	0.09	1.62	0.29	0	0	0.47
ENSG00000256504.2	0	0	1.61	0	0	0	0	0	0	0	0	0
ENSG00000256514.1	0	0	1.73	0	0	0	2.17	0	0.91	0	0	0
ENSG00000256525.5	8.04	6.05	6.87	5.42	8.22	5.19	3.42	5.62	3.31	6.86	11.15	6.13
ENSG00000256533.1	1.93	1.13	1.25	0.82	0.24	0.42	0	1.02	0.2	0.62	1.58	0.62
ENSG00000256537.3	2.78	2.38	2.42	2.56	5.02	1.64	1.41	2.11	0.89	2.07	2.42	2.3
ENSG00000256546.1	0	0	0.35	0	1.66	0	0	0	0.56	0.35	0	0
ENSG00000256552.2	1.07	0.79	0.53	0.37	0.37	1.46	1.76	0	0.57	2.53	2.05	0.65
ENSG00000256553.1	17.86	8.63	9.84	7.37	16.59	1.16	3.76	5.08	3.48	3.5	9.09	4.31
ENSG00000256557.1	0	0	0	0	0	2.44	0	0	0	0	0	0.55
